id,title,description
fb_45,Volaris,"Verified Facebook page ""Volaris""; dataset category: company; source Facebook ID: 5830082681; encoded description features: 23."
fb_46,Eduardo Barbosa,"Verified Facebook page ""Eduardo Barbosa""; dataset category: politician; source Facebook ID: 391321314263162; encoded description features: 7."
fb_47,Service de police de la Ville de Montréal - SPVM,"Verified Facebook page ""Service de police de la Ville de Montréal - SPVM""; dataset category: government; source Facebook ID: 518989818298491; encoded description features: 6."
fb_48,Hotel Indigo [page 48],"Verified Facebook page ""Hotel Indigo""; dataset category: company; source Facebook ID: 327771217264764; encoded description features: 21."
fb_49,Digicel [page 49],"Verified Facebook page ""Digicel""; dataset category: company; source Facebook ID: 130096562306; encoded description features: 24."
fb_50,Alabama Ecological Services Field Office,"Verified Facebook page ""Alabama Ecological Services Field Office""; dataset category: government; source Facebook ID: 126291660767367; encoded description features: 10."
fb_51,Ulli Sima,"Verified Facebook page ""Ulli Sima""; dataset category: politician; source Facebook ID: 346648178719588; encoded description features: 7."
fb_52,식샤를합시다,"Verified Facebook page ""식샤를합시다""; dataset category: tvshow; source Facebook ID: 1388741348032650; encoded description features: 7."
fb_53,LION,"Verified Facebook page ""LION""; dataset category: company; source Facebook ID: 624417591001227; encoded description features: 23."
fb_54,Policía de Seguridad Aeroportuaria,"Verified Facebook page ""Policía de Seguridad Aeroportuaria""; dataset category: government; source Facebook ID: 123185828069517; encoded description features: 23."
fb_55,Abendschau,"Verified Facebook page ""Abendschau""; dataset category: tvshow; source Facebook ID: 141018599260302; encoded description features: 9."
fb_56,"Historic Preservation Division, Illinois Department of Natural Resources","Verified Facebook page ""Historic Preservation Division, Illinois Department of Natural Resources""; dataset category: government; source Facebook ID: 378134195601552; encoded description features: 7."
fb_57,KOHLER,"Verified Facebook page ""KOHLER""; dataset category: company; source Facebook ID: 251539554450; encoded description features: 23."
fb_58,Narragansett Fire Department,"Verified Facebook page ""Narragansett Fire Department""; dataset category: government; source Facebook ID: 676807905694191; encoded description features: 6."
fb_59,Pat Toomey,"Verified Facebook page ""Pat Toomey""; dataset category: politician; source Facebook ID: 89324781720; encoded description features: 26."
fb_60,Jean Rioux,"Verified Facebook page ""Jean Rioux""; dataset category: politician; source Facebook ID: 1493838274166939; encoded description features: 24."
fb_61,Windows,"Verified Facebook page ""Windows""; dataset category: company; source Facebook ID: 30968512668; encoded description features: 24."
fb_62,Manolo Jiménez Salinas,"Verified Facebook page ""Manolo Jiménez Salinas""; dataset category: politician; source Facebook ID: 153947391339205; encoded description features: 9."
fb_63,Tune Hotels [page 63],"Verified Facebook page ""Tune Hotels""; dataset category: company; source Facebook ID: 445110972186788; encoded description features: 26."
fb_64,Préfète de la Lozère,"Verified Facebook page ""Préfète de la Lozère""; dataset category: government; source Facebook ID: 277034555829293; encoded description features: 7."
fb_65,GoBank,"Verified Facebook page ""GoBank""; dataset category: company; source Facebook ID: 288263184580783; encoded description features: 10."
fb_66,Green & Black's,"Verified Facebook page ""Green & Black's""; dataset category: company; source Facebook ID: 190073274544; encoded description features: 24."
fb_67,Jennifer Newman,"Verified Facebook page ""Jennifer Newman""; dataset category: politician; source Facebook ID: 1435115400134833; encoded description features: 9."
fb_68,SVT Kortfilm,"Verified Facebook page ""SVT Kortfilm""; dataset category: tvshow; source Facebook ID: 128837483823282; encoded description features: 7."
fb_69,Toute la vérité,"Verified Facebook page ""Toute la vérité""; dataset category: tvshow; source Facebook ID: 248466702367; encoded description features: 7."
fb_70,Modern Marvels,"Verified Facebook page ""Modern Marvels""; dataset category: tvshow; source Facebook ID: 49649942718; encoded description features: 22."
fb_71,Monika Lazar,"Verified Facebook page ""Monika Lazar""; dataset category: politician; source Facebook ID: 1008920055906510; encoded description features: 8."
fb_72,T.C. Boston Başkonsolosluğu-Turkish Consulate General in Boston,"Verified Facebook page ""T.C. Boston Başkonsolosluğu-Turkish Consulate General in Boston""; dataset category: government; source Facebook ID: 501375619956944; encoded description features: 7."
fb_73,Benjamin Strasser,"Verified Facebook page ""Benjamin Strasser""; dataset category: politician; source Facebook ID: 139782149374162; encoded description features: 6."
fb_74,Embajada de Rumania en Buenos Aires,"Verified Facebook page ""Embajada de Rumania en Buenos Aires""; dataset category: government; source Facebook ID: 1430048157270238; encoded description features: 6."
fb_75,"Headquarters and Headquarters Company (HHC), 16th Military Police Brigade","Verified Facebook page ""Headquarters and Headquarters Company (HHC), 16th Military Police Brigade""; dataset category: government; source Facebook ID: 395873323778271; encoded description features: 7."
fb_76,Lazada Super Moms [page 76],"Verified Facebook page ""Lazada Super Moms""; dataset category: company; source Facebook ID: 328510467254992; encoded description features: 9."
fb_77,Fernando Ruas,"Verified Facebook page ""Fernando Ruas""; dataset category: politician; source Facebook ID: 1415528252047590; encoded description features: 8."
fb_78,Victoria Prentis,"Verified Facebook page ""Victoria Prentis""; dataset category: politician; source Facebook ID: 728733757210856; encoded description features: 28."
fb_79,11.22.63,"Verified Facebook page ""11.22.63""; dataset category: tvshow; source Facebook ID: 537191503102185; encoded description features: 20."
fb_80,Національна поліція України,"Verified Facebook page ""Національна поліція України""; dataset category: government; source Facebook ID: 1674951879426286; encoded description features: 8."
fb_81,Jurado Nacional de Elecciones del Perú,"Verified Facebook page ""Jurado Nacional de Elecciones del Perú""; dataset category: government; source Facebook ID: 133074956714225; encoded description features: 8."
fb_82,Mike Nahan,"Verified Facebook page ""Mike Nahan""; dataset category: politician; source Facebook ID: 345612838830323; encoded description features: 22."
fb_83,RAF Recruitment,"Verified Facebook page ""RAF Recruitment""; dataset category: government; source Facebook ID: 117709338312950; encoded description features: 8."
fb_84,Ansbach Housing,"Verified Facebook page ""Ansbach Housing""; dataset category: government; source Facebook ID: 149038991834428; encoded description features: 7."
fb_85,The BCDA Group,"Verified Facebook page ""The BCDA Group""; dataset category: government; source Facebook ID: 236384066470140; encoded description features: 7."
fb_86,Pirkka,"Verified Facebook page ""Pirkka""; dataset category: company; source Facebook ID: 113473582071850; encoded description features: 23."
fb_87,Ambassade du Canada en Islande,"Verified Facebook page ""Ambassade du Canada en Islande""; dataset category: government; source Facebook ID: 1413528238883071; encoded description features: 11."
fb_88,"United States Embassy - Riga, Latvia","Verified Facebook page ""United States Embassy - Riga, Latvia""; dataset category: government; source Facebook ID: 70710067457; encoded description features: 9."
fb_89,Michal Rozin מיכל רוזין,"Verified Facebook page ""Michal Rozin מיכל רוזין""; dataset category: politician; source Facebook ID: 617957021581571; encoded description features: 7."
fb_90,Stop Fraud Colorado,"Verified Facebook page ""Stop Fraud Colorado""; dataset category: government; source Facebook ID: 264070427050244; encoded description features: 6."
fb_91,3 Musketeers,"Verified Facebook page ""3 Musketeers""; dataset category: company; source Facebook ID: 219150418186; encoded description features: 26."
fb_92,EVA Airways Corp. 長榮航空,"Verified Facebook page ""EVA Airways Corp. 長榮航空""; dataset category: company; source Facebook ID: 181414785384715; encoded description features: 8."
fb_93,Vilson Covatti,"Verified Facebook page ""Vilson Covatti""; dataset category: politician; source Facebook ID: 388614157893904; encoded description features: 9."
fb_94,Export Gov,"Verified Facebook page ""Export Gov""; dataset category: government; source Facebook ID: 112236298513; encoded description features: 5."
fb_95,Fabiana Dadone,"Verified Facebook page ""Fabiana Dadone""; dataset category: politician; source Facebook ID: 473799242678553; encoded description features: 6."
fb_96,Noticias Univision Florida Central,"Verified Facebook page ""Noticias Univision Florida Central""; dataset category: tvshow; source Facebook ID: 139152096100639; encoded description features: 6."
fb_97,Kevin Michel MLA,"Verified Facebook page ""Kevin Michel MLA""; dataset category: politician; source Facebook ID: 698128143679780; encoded description features: 6."
fb_98,Soldier On / Sans Limites,"Verified Facebook page ""Soldier On / Sans Limites""; dataset category: government; source Facebook ID: 211815292207397; encoded description features: 6."
fb_99,Bericht aus Berlin,"Verified Facebook page ""Bericht aus Berlin""; dataset category: tvshow; source Facebook ID: 296432197042477; encoded description features: 6."
fb_100,Préfecture de police des Bouches-du-Rhône,"Verified Facebook page ""Préfecture de police des Bouches-du-Rhône""; dataset category: government; source Facebook ID: 2046450978914607; encoded description features: 9."
fb_101,The X Factor (USA),"Verified Facebook page ""The X Factor (USA)""; dataset category: tvshow; source Facebook ID: 104513569620273; encoded description features: 25."
fb_102,Ochsner Sport,"Verified Facebook page ""Ochsner Sport""; dataset category: company; source Facebook ID: 144128365625650; encoded description features: 10."
fb_103,林淑芬,"Verified Facebook page ""林淑芬""; dataset category: politician; source Facebook ID: 169014523134260; encoded description features: 9."
fb_104,Ministerio de Educación de la Nación Argentina,"Verified Facebook page ""Ministerio de Educación de la Nación Argentina""; dataset category: government; source Facebook ID: 1717735835107639; encoded description features: 8."
fb_105,Aviva [page 105],"Verified Facebook page ""Aviva""; dataset category: company; source Facebook ID: 133161833398584; encoded description features: 25."
fb_106,Chad Griffith - Lake Macquarie,"Verified Facebook page ""Chad Griffith - Lake Macquarie""; dataset category: politician; source Facebook ID: 145794842231097; encoded description features: 6."
fb_107,Red Bull MOBILE [page 107],"Verified Facebook page ""Red Bull MOBILE""; dataset category: company; source Facebook ID: 151049292087611; encoded description features: 10."
fb_108,Dan Drew,"Verified Facebook page ""Dan Drew""; dataset category: politician; source Facebook ID: 84890878270; encoded description features: 23."
fb_109,Bronisław Komorowski,"Verified Facebook page ""Bronisław Komorowski""; dataset category: politician; source Facebook ID: 113077252063553; encoded description features: 24."
fb_110,CERT-RO,"Verified Facebook page ""CERT-RO""; dataset category: government; source Facebook ID: 180642835333445; encoded description features: 7."
fb_111,Inside Amy Schumer,"Verified Facebook page ""Inside Amy Schumer""; dataset category: tvshow; source Facebook ID: 445821135487302; encoded description features: 23."
fb_112,U.S. Presidential Scholars Program,"Verified Facebook page ""U.S. Presidential Scholars Program""; dataset category: government; source Facebook ID: 131588424007; encoded description features: 25."
fb_113,Senator James McGrath,"Verified Facebook page ""Senator James McGrath""; dataset category: politician; source Facebook ID: 404948826259784; encoded description features: 6."
fb_114,"Philippe Noguès, une voix de gauche","Verified Facebook page ""Philippe Noguès, une voix de gauche""; dataset category: politician; source Facebook ID: 165787053523275; encoded description features: 6."
fb_115,Crackets,"Verified Facebook page ""Crackets""; dataset category: company; source Facebook ID: 160653460701518; encoded description features: 8."
fb_116,Sebastian Galmarini,"Verified Facebook page ""Sebastian Galmarini""; dataset category: politician; source Facebook ID: 440677362630997; encoded description features: 6."
fb_117,RECLAME,"Verified Facebook page ""RECLAME""; dataset category: tvshow; source Facebook ID: 109295382430039; encoded description features: 8."
fb_118,Vesna Pusić,"Verified Facebook page ""Vesna Pusić""; dataset category: politician; source Facebook ID: 19027744005; encoded description features: 24."
fb_119,Barwy Szczęścia,"Verified Facebook page ""Barwy Szczęścia""; dataset category: tvshow; source Facebook ID: 109735015743837; encoded description features: 9."
fb_120,Ejército Nacional de Colombia,"Verified Facebook page ""Ejército Nacional de Colombia""; dataset category: government; source Facebook ID: 123905300955489; encoded description features: 7."
fb_121,"City of Fremont, CA Government","Verified Facebook page ""City of Fremont, CA Government""; dataset category: government; source Facebook ID: 236123129774435; encoded description features: 8."
fb_122,Procuraduría General de la República,"Verified Facebook page ""Procuraduría General de la República""; dataset category: government; source Facebook ID: 187586581285368; encoded description features: 23."
fb_123,USAID Pakistan,"Verified Facebook page ""USAID Pakistan""; dataset category: government; source Facebook ID: 440868732600680; encoded description features: 23."
fb_124,Doritos [page 124],"Verified Facebook page ""Doritos""; dataset category: company; source Facebook ID: 726315847385449; encoded description features: 26."
fb_125,Disneyland Jobs,"Verified Facebook page ""Disneyland Jobs""; dataset category: company; source Facebook ID: 503105919713649; encoded description features: 5."
fb_126,ESET,"Verified Facebook page ""ESET""; dataset category: company; source Facebook ID: 124157780951417; encoded description features: 21."
fb_127,GovX,"Verified Facebook page ""GovX""; dataset category: company; source Facebook ID: 354595427910013; encoded description features: 22."
fb_128,New York Style,"Verified Facebook page ""New York Style""; dataset category: company; source Facebook ID: 243173360004; encoded description features: 7."
fb_129,Governor Jan Brewer,"Verified Facebook page ""Governor Jan Brewer""; dataset category: politician; source Facebook ID: 173347701125; encoded description features: 24."
fb_130,USAID Eastern and Southern Caribbean,"Verified Facebook page ""USAID Eastern and Southern Caribbean""; dataset category: government; source Facebook ID: 172313069486470; encoded description features: 6."
fb_131,Bouchon Bistro,"Verified Facebook page ""Bouchon Bistro""; dataset category: company; source Facebook ID: 441049269272968; encoded description features: 7."
fb_132,DON Smallgoods,"Verified Facebook page ""DON Smallgoods""; dataset category: company; source Facebook ID: 428205943882121; encoded description features: 8."
fb_133,Sandia National Labs,"Verified Facebook page ""Sandia National Labs""; dataset category: government; source Facebook ID: 135381669839242; encoded description features: 21."
fb_134,Academy Sports + Outdoors,"Verified Facebook page ""Academy Sports + Outdoors""; dataset category: company; source Facebook ID: 368446079376; encoded description features: 25."
fb_135,AIDA,"Verified Facebook page ""AIDA""; dataset category: company; source Facebook ID: 101777342866; encoded description features: 24."
fb_136,Canada and Iran,"Verified Facebook page ""Canada and Iran""; dataset category: government; source Facebook ID: 631919500263831; encoded description features: 6."
fb_137,豐原監理站,"Verified Facebook page ""豐原監理站""; dataset category: government; source Facebook ID: 272511339506416; encoded description features: 10."
fb_138,Peter Kraus,"Verified Facebook page ""Peter Kraus""; dataset category: politician; source Facebook ID: 121538151580066; encoded description features: 23."
fb_139,Jumia [page 139],"Verified Facebook page ""Jumia""; dataset category: company; source Facebook ID: 770543166292392; encoded description features: 26."
fb_140,SoFlo TASTE,"Verified Facebook page ""SoFlo TASTE""; dataset category: tvshow; source Facebook ID: 368704976650667; encoded description features: 8."
fb_141,White Collar,"Verified Facebook page ""White Collar""; dataset category: tvshow; source Facebook ID: 91116022514; encoded description features: 24."
fb_142,B&G Pickles & Peppers,"Verified Facebook page ""B&G Pickles & Peppers""; dataset category: company; source Facebook ID: 379228478788668; encoded description features: 9."
fb_143,194th Wing,"Verified Facebook page ""194th Wing""; dataset category: government; source Facebook ID: 1838800826401201; encoded description features: 23."
fb_144,Bajnai Gordon,"Verified Facebook page ""Bajnai Gordon""; dataset category: politician; source Facebook ID: 62894440884; encoded description features: 24."
fb_145,Michael Leutert,"Verified Facebook page ""Michael Leutert""; dataset category: politician; source Facebook ID: 177828029071801; encoded description features: 7."
fb_146,Uwe Schünemann MdL,"Verified Facebook page ""Uwe Schünemann MdL""; dataset category: politician; source Facebook ID: 1403712706511292; encoded description features: 7."
fb_147,MOPC Paraguay,"Verified Facebook page ""MOPC Paraguay""; dataset category: government; source Facebook ID: 134964869923261; encoded description features: 9."
fb_148,New York City Law Department,"Verified Facebook page ""New York City Law Department""; dataset category: government; source Facebook ID: 144878942355905; encoded description features: 25."
fb_149,KLM México,"Verified Facebook page ""KLM México""; dataset category: company; source Facebook ID: 319501934789059; encoded description features: 7."
fb_150,BP America,"Verified Facebook page ""BP America""; dataset category: company; source Facebook ID: 97279934919; encoded description features: 24."
fb_151,Au secours de Béatrice,"Verified Facebook page ""Au secours de Béatrice""; dataset category: tvshow; source Facebook ID: 786036081426888; encoded description features: 9."
fb_152,Dragons' Den,"Verified Facebook page ""Dragons' Den""; dataset category: tvshow; source Facebook ID: 9885974987; encoded description features: 23."
fb_153,hessenschau,"Verified Facebook page ""hessenschau""; dataset category: tvshow; source Facebook ID: 594399277278367; encoded description features: 24."
fb_154,City of Kitchener,"Verified Facebook page ""City of Kitchener""; dataset category: government; source Facebook ID: 61828104655; encoded description features: 24."
fb_155,Kátia Abreu,"Verified Facebook page ""Kátia Abreu""; dataset category: politician; source Facebook ID: 175986319185315; encoded description features: 22."
fb_156,Jakob von Weizsäcker,"Verified Facebook page ""Jakob von Weizsäcker""; dataset category: politician; source Facebook ID: 1385983704957396; encoded description features: 23."
fb_157,US National Weather Service Blacksburg VA,"Verified Facebook page ""US National Weather Service Blacksburg VA""; dataset category: government; source Facebook ID: 216190061773271; encoded description features: 4."
fb_158,Mirinda Arabia,"Verified Facebook page ""Mirinda Arabia""; dataset category: company; source Facebook ID: 380383308677595; encoded description features: 8."
fb_159,JRTC and Fort Polk,"Verified Facebook page ""JRTC and Fort Polk""; dataset category: government; source Facebook ID: 167394579972573; encoded description features: 8."
fb_160,Department of Transport,"Verified Facebook page ""Department of Transport""; dataset category: government; source Facebook ID: 443442745770466; encoded description features: 23."
fb_161,UR Orka plugga,"Verified Facebook page ""UR Orka plugga""; dataset category: tvshow; source Facebook ID: 750282211721700; encoded description features: 11."
fb_162,Jayant Sinha,"Verified Facebook page ""Jayant Sinha""; dataset category: politician; source Facebook ID: 232286700306917; encoded description features: 24."
fb_163,Cancelaria de Stat a Republicii Moldova,"Verified Facebook page ""Cancelaria de Stat a Republicii Moldova""; dataset category: government; source Facebook ID: 221774737965548; encoded description features: 6."
fb_164,Comunidad Movistar Argentina,"Verified Facebook page ""Comunidad Movistar Argentina""; dataset category: company; source Facebook ID: 233815212529; encoded description features: 4."
fb_165,German Consulate General Vancouver,"Verified Facebook page ""German Consulate General Vancouver""; dataset category: government; source Facebook ID: 102601993617906; encoded description features: 5."
fb_166,Turkish Presidency,"Verified Facebook page ""Turkish Presidency""; dataset category: government; source Facebook ID: 655425904574963; encoded description features: 9."
fb_167,US Embassy Abu Dhabi,"Verified Facebook page ""US Embassy Abu Dhabi""; dataset category: government; source Facebook ID: 119837032950; encoded description features: 7."
fb_168,Matrix Professional Haircare & Color [page 168],"Verified Facebook page ""Matrix Professional Haircare & Color""; dataset category: company; source Facebook ID: 172681179452841; encoded description features: 8."
fb_169,Laboratório Hacker - Câmara dos Deputados,"Verified Facebook page ""Laboratório Hacker - Câmara dos Deputados""; dataset category: government; source Facebook ID: 717846764913149; encoded description features: 5."
fb_170,صندوق أبوظبي للمعاشات,"Verified Facebook page ""صندوق أبوظبي للمعاشات""; dataset category: government; source Facebook ID: 632550910198276; encoded description features: 6."
fb_171,The Belgian Navy,"Verified Facebook page ""The Belgian Navy""; dataset category: government; source Facebook ID: 650700358287878; encoded description features: 7."
fb_172,Ridestore,"Verified Facebook page ""Ridestore""; dataset category: company; source Facebook ID: 289923924487; encoded description features: 8."
fb_173,European Union in Israel,"Verified Facebook page ""European Union in Israel""; dataset category: government; source Facebook ID: 134470763282957; encoded description features: 6."
fb_174,Bosch Herramientas Eléctricas Profesionales y Accesorios [page 174],"Verified Facebook page ""Bosch Herramientas Eléctricas Profesionales y Accesorios""; dataset category: company; source Facebook ID: 1617350448513550; encoded description features: 9."
fb_175,Deportes CNN,"Verified Facebook page ""Deportes CNN""; dataset category: tvshow; source Facebook ID: 114445021926829; encoded description features: 6."
fb_176,Horacio Rodríguez Larreta,"Verified Facebook page ""Horacio Rodríguez Larreta""; dataset category: politician; source Facebook ID: 174970176018; encoded description features: 22."
fb_177,Ministerio de Trabajo El Salvador,"Verified Facebook page ""Ministerio de Trabajo El Salvador""; dataset category: government; source Facebook ID: 217552831709715; encoded description features: 8."
fb_178,Clangers,"Verified Facebook page ""Clangers""; dataset category: tvshow; source Facebook ID: 554754457928212; encoded description features: 23."
fb_179,Hoka One One [page 179],"Verified Facebook page ""Hoka One One""; dataset category: company; source Facebook ID: 194981427216918; encoded description features: 24."
fb_180,Gavin Shuker MP,"Verified Facebook page ""Gavin Shuker MP""; dataset category: politician; source Facebook ID: 268340433322523; encoded description features: 9."
fb_181,Peace Corps Comoros,"Verified Facebook page ""Peace Corps Comoros""; dataset category: government; source Facebook ID: 174298126352925; encoded description features: 8."
fb_182,NSW SES Glen Innes,"Verified Facebook page ""NSW SES Glen Innes""; dataset category: government; source Facebook ID: 773666216018465; encoded description features: 9."
fb_183,Christchurch City Council,"Verified Facebook page ""Christchurch City Council""; dataset category: government; source Facebook ID: 189426624430626; encoded description features: 23."
fb_184,KLM Russia,"Verified Facebook page ""KLM Russia""; dataset category: company; source Facebook ID: 126442007429667; encoded description features: 8."
fb_185,Ghost Whisperer,"Verified Facebook page ""Ghost Whisperer""; dataset category: tvshow; source Facebook ID: 28768797221; encoded description features: 25."
fb_186,曹嘉豪,"Verified Facebook page ""曹嘉豪""; dataset category: politician; source Facebook ID: 433213220061734; encoded description features: 5."
fb_187,Bill Shorten MP,"Verified Facebook page ""Bill Shorten MP""; dataset category: politician; source Facebook ID: 464998863536680; encoded description features: 10."
fb_188,Black Hills VA Health Care System,"Verified Facebook page ""Black Hills VA Health Care System""; dataset category: government; source Facebook ID: 131890253529641; encoded description features: 7."
fb_189,"Ministry of Micro, Small and Medium Enterprises,Government of India","Verified Facebook page ""Ministry of Micro, Small and Medium Enterprises,Government of India""; dataset category: government; source Facebook ID: 196396587232007; encoded description features: 9."
fb_190,Vigor Brasil,"Verified Facebook page ""Vigor Brasil""; dataset category: company; source Facebook ID: 260507710718508; encoded description features: 4."
fb_191,Ruth Ellen Brosseau,"Verified Facebook page ""Ruth Ellen Brosseau""; dataset category: politician; source Facebook ID: 205987562783277; encoded description features: 24."
fb_192,Philippine Embassy in Thailand,"Verified Facebook page ""Philippine Embassy in Thailand""; dataset category: government; source Facebook ID: 152762631455280; encoded description features: 9."
fb_193,Atmosphere,"Verified Facebook page ""Atmosphere""; dataset category: company; source Facebook ID: 167542776660532; encoded description features: 23."
