reviewer_id,example_id,blind_label,correctness_1_to_5,completeness_1_to_5,abstention_appropriate_yes_no_na,notes
,eight_eval_comparison_02,D,,,,
,eight_eval_comparison_02,E,,,,
,eight_eval_comparison_02,F,,,,
,eight_eval_comparison_02,G,,,,
,eight_eval_comparison_02,H,,,,
,eight_eval_comparison_03,A,,,,
,eight_eval_comparison_03,B,,,,
,eight_eval_comparison_03,C,,,,
,eight_eval_comparison_03,D,,,,
,eight_eval_comparison_03,E,,,,
,eight_eval_comparison_03,F,,,,
,eight_eval_comparison_03,G,,,,
,eight_eval_comparison_03,H,,,,
,eight_eval_comparison_04,A,,,,
,eight_eval_comparison_04,B,,,,
,eight_eval_comparison_04,C,,,,
,eight_eval_comparison_04,D,,,,
,eight_eval_comparison_04,E,,,,
,eight_eval_comparison_04,F,,,,
,eight_eval_comparison_04,G,,,,
,eight_eval_comparison_04,H,,,,
,eight_eval_comparison_05,A,,,,
,eight_eval_comparison_05,B,,,,
,eight_eval_comparison_05,C,,,,
,eight_eval_comparison_05,D,,,,
,eight_eval_comparison_05,E,,,,
,eight_eval_comparison_05,F,,,,
,eight_eval_comparison_05,G,,,,
,eight_eval_comparison_05,H,,,,
,eight_eval_comparison_06,A,,,,
,eight_eval_comparison_06,B,,,,
,eight_eval_comparison_06,C,,,,
,eight_eval_comparison_06,D,,,,
,eight_eval_comparison_06,E,,,,
,eight_eval_comparison_06,F,,,,
,eight_eval_comparison_06,G,,,,
,eight_eval_comparison_06,H,,,,
,eight_eval_comparison_07,A,,,,
,eight_eval_comparison_07,B,,,,
,eight_eval_comparison_07,C,,,,
,eight_eval_comparison_07,D,,,,
,eight_eval_comparison_07,E,,,,
,eight_eval_comparison_07,F,,,,
,eight_eval_comparison_07,G,,,,
,eight_eval_comparison_07,H,,,,
,eight_eval_comparison_08,A,,,,
,eight_eval_comparison_08,B,,,,
,eight_eval_comparison_08,C,,,,
,eight_eval_comparison_08,D,,,,
,eight_eval_comparison_08,E,,,,
,eight_eval_comparison_08,F,,,,
,eight_eval_comparison_08,G,,,,
,eight_eval_comparison_08,H,,,,
,eight_eval_comparison_09,A,,,,
,eight_eval_comparison_09,B,,,,
,eight_eval_comparison_09,C,,,,
,eight_eval_comparison_09,D,,,,
,eight_eval_comparison_09,E,,,,
,eight_eval_comparison_09,F,,,,
,eight_eval_comparison_09,G,,,,
,eight_eval_comparison_09,H,,,,
,eight_eval_comparison_10,A,,,,
,eight_eval_comparison_10,B,,,,
,eight_eval_comparison_10,C,,,,
,eight_eval_comparison_10,D,,,,
,eight_eval_comparison_10,E,,,,
,eight_eval_comparison_10,F,,,,
,eight_eval_comparison_10,G,,,,
,eight_eval_comparison_10,H,,,,
,eight_eval_path_01,A,,,,
,eight_eval_path_01,B,,,,
,eight_eval_path_01,C,,,,
,eight_eval_path_01,D,,,,
,eight_eval_path_01,E,,,,
,eight_eval_path_01,F,,,,
,eight_eval_path_01,G,,,,
,eight_eval_path_01,H,,,,
,eight_eval_path_02,A,,,,
,eight_eval_path_02,B,,,,
,eight_eval_path_02,C,,,,
,eight_eval_path_02,D,,,,
,eight_eval_path_02,E,,,,
,eight_eval_path_02,F,,,,
,eight_eval_path_02,G,,,,
,eight_eval_path_02,H,,,,
,eight_eval_path_03,A,,,,
,eight_eval_path_03,B,,,,
,eight_eval_path_03,C,,,,
,eight_eval_path_03,D,,,,
,eight_eval_path_03,E,,,,
,eight_eval_path_03,F,,,,
,eight_eval_path_03,G,,,,
,eight_eval_path_03,H,,,,
,eight_eval_path_04,A,,,,
,eight_eval_path_04,B,,,,
,eight_eval_path_04,C,,,,
,eight_eval_path_04,D,,,,
,eight_eval_path_04,E,,,,
,eight_eval_path_04,F,,,,
,eight_eval_path_04,G,,,,
,eight_eval_path_04,H,,,,
,eight_eval_path_05,A,,,,
,eight_eval_path_05,B,,,,
,eight_eval_path_05,C,,,,
,eight_eval_path_05,D,,,,
,eight_eval_path_05,E,,,,
,eight_eval_path_05,F,,,,
,eight_eval_path_05,G,,,,
,eight_eval_path_05,H,,,,
,eight_eval_path_06,A,,,,
,eight_eval_path_06,B,,,,
,eight_eval_path_06,C,,,,
,eight_eval_path_06,D,,,,
,eight_eval_path_06,E,,,,
,eight_eval_path_06,F,,,,
,eight_eval_path_06,G,,,,
,eight_eval_path_06,H,,,,
,eight_eval_path_07,A,,,,
,eight_eval_path_07,B,,,,
,eight_eval_path_07,C,,,,
,eight_eval_path_07,D,,,,
,eight_eval_path_07,E,,,,
,eight_eval_path_07,F,,,,
,eight_eval_path_07,G,,,,
,eight_eval_path_07,H,,,,
,eight_eval_path_08,A,,,,
,eight_eval_path_08,B,,,,
,eight_eval_path_08,C,,,,
,eight_eval_path_08,D,,,,
,eight_eval_path_08,E,,,,
,eight_eval_path_08,F,,,,
,eight_eval_path_08,G,,,,
,eight_eval_path_08,H,,,,
,eight_eval_path_09,A,,,,
,eight_eval_path_09,B,,,,
,eight_eval_path_09,C,,,,
,eight_eval_path_09,D,,,,
,eight_eval_path_09,E,,,,
,eight_eval_path_09,F,,,,
,eight_eval_path_09,G,,,,
,eight_eval_path_09,H,,,,
,eight_eval_path_10,A,,,,
,eight_eval_path_10,B,,,,
,eight_eval_path_10,C,,,,
,eight_eval_path_10,D,,,,
,eight_eval_path_10,E,,,,
,eight_eval_path_10,F,,,,
,eight_eval_path_10,G,,,,
,eight_eval_path_10,H,,,,
,eight_eval_similarity_01,A,,,,
,eight_eval_similarity_01,B,,,,
,eight_eval_similarity_01,C,,,,
,eight_eval_similarity_01,D,,,,
,eight_eval_similarity_01,E,,,,
,eight_eval_similarity_01,F,,,,
,eight_eval_similarity_01,G,,,,
,eight_eval_similarity_01,H,,,,
,eight_eval_similarity_02,A,,,,
,eight_eval_similarity_02,B,,,,
,eight_eval_similarity_02,C,,,,
,eight_eval_similarity_02,D,,,,
,eight_eval_similarity_02,E,,,,
,eight_eval_similarity_02,F,,,,
,eight_eval_similarity_02,G,,,,
,eight_eval_similarity_02,H,,,,
,eight_eval_similarity_03,A,,,,
,eight_eval_similarity_03,B,,,,
,eight_eval_similarity_03,C,,,,
,eight_eval_similarity_03,D,,,,
,eight_eval_similarity_03,E,,,,
,eight_eval_similarity_03,F,,,,
,eight_eval_similarity_03,G,,,,
,eight_eval_similarity_03,H,,,,
,eight_eval_similarity_04,A,,,,
,eight_eval_similarity_04,B,,,,
,eight_eval_similarity_04,C,,,,
,eight_eval_similarity_04,D,,,,
,eight_eval_similarity_04,E,,,,
,eight_eval_similarity_04,F,,,,
,eight_eval_similarity_04,G,,,,
,eight_eval_similarity_04,H,,,,
,eight_eval_similarity_05,A,,,,
,eight_eval_similarity_05,B,,,,
,eight_eval_similarity_05,C,,,,
,eight_eval_similarity_05,D,,,,
,eight_eval_similarity_05,E,,,,
,eight_eval_similarity_05,F,,,,
,eight_eval_similarity_05,G,,,,
,eight_eval_similarity_05,H,,,,
,eight_eval_similarity_06,A,,,,
,eight_eval_similarity_06,B,,,,
,eight_eval_similarity_06,C,,,,
,eight_eval_similarity_06,D,,,,
,eight_eval_similarity_06,E,,,,
,eight_eval_similarity_06,F,,,,
,eight_eval_similarity_06,G,,,,
,eight_eval_similarity_06,H,,,,
,eight_eval_similarity_07,A,,,,
,eight_eval_similarity_07,B,,,,
,eight_eval_similarity_07,C,,,,
,eight_eval_similarity_07,D,,,,
,eight_eval_similarity_07,E,,,,
,eight_eval_similarity_07,F,,,,
,eight_eval_similarity_07,G,,,,
,eight_eval_similarity_07,H,,,,
,eight_eval_similarity_08,A,,,,
,eight_eval_similarity_08,B,,,,
,eight_eval_similarity_08,C,,,,
,eight_eval_similarity_08,D,,,,
,eight_eval_similarity_08,E,,,,
,eight_eval_similarity_08,F,,,,
,eight_eval_similarity_08,G,,,,
,eight_eval_similarity_08,H,,,,
,eight_eval_similarity_09,A,,,,
,eight_eval_similarity_09,B,,,,
,eight_eval_similarity_09,C,,,,
,eight_eval_similarity_09,D,,,,
,eight_eval_similarity_09,E,,,,
,eight_eval_similarity_09,F,,,,
,eight_eval_similarity_09,G,,,,
,eight_eval_similarity_09,H,,,,
,eight_eval_similarity_10,A,,,,
,eight_eval_similarity_10,B,,,,
,eight_eval_similarity_10,C,,,,
,eight_eval_similarity_10,D,,,,
,eight_eval_similarity_10,E,,,,
,eight_eval_similarity_10,F,,,,
,eight_eval_similarity_10,G,,,,
,eight_eval_similarity_10,H,,,,
